epoch,train_loss,val_loss,dice_score,lr,lambda_ce,lambda_dice,class_weights,threshold,include_background,normalization_type
15,0.5967464059591293,0.5981903970241547,0.40239381790161133,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
53,0.5949279844760895,0.600419819355011,0.3999592363834381,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
16,0.5964496403932571,0.5979379177093506,0.4024617075920105,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
54,0.5948942542076111,0.6006179928779602,0.3997950553894043,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
55,0.5948633193969727,0.6007609248161316,0.3994956910610199,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
17,0.5961410149931907,0.5974262297153473,0.4031147062778473,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
56,0.594839283823967,0.6003839492797851,0.399952232837677,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
18,0.5958150744438171,0.5983170390129089,0.40218549966812134,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
19,0.5955021008849144,0.5992162883281708,0.4013706147670746,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
57,0.5948163211345673,0.6008732914924622,0.3993837535381317,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
20,0.5952719524502754,0.5993102788925171,0.4013257920742035,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
58,0.594795772433281,0.6003580570220948,0.399883896112442,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
59,0.5947778582572937,0.6003915309906006,0.3998526930809021,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
21,0.5951268821954727,0.6005595207214356,0.39981749653816223,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
60,0.5947609126567841,0.6005341410636902,0.39966410398483276,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
22,0.5950379014015198,0.5998744964599609,0.4006933569908142,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
23,0.5949532017111778,0.6000823974609375,0.4004848003387451,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
61,0.5947451174259186,0.6001768946647644,0.40009039640426636,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
62,0.5947314143180847,0.6005375862121582,0.3996911644935608,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
24,0.594900694489479,0.5998750030994415,0.400102436542511,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
25,0.5948484390974045,0.5993749737739563,0.4006469249725342,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
63,0.5947170078754425,0.6001622796058654,0.40007877349853516,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
26,0.5948215559124946,0.5996907174587249,0.4002894461154938,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
64,0.5947041064500809,0.6006076097488403,0.39965176582336426,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.5,True,instance_norm
65,0.5946926921606064,0.6002992868423462,0.39951619505882263,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
27,0.5948181509971618,0.5998034417629242,0.40018582344055176,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
66,0.5946819603443145,0.6002776741981506,0.39956367015838623,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
28,0.5948169738054275,0.5999428689479828,0.4000736176967621,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
67,0.5946716099977494,0.6004536509513855,0.39936375617980957,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
29,0.5948023602366448,0.599825918674469,0.40022483468055725,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
68,0.5946654051542282,0.600401771068573,0.39939579367637634,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
30,0.5947815507650376,0.6003529667854309,0.3995811939239502,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
31,0.5947621122002602,0.59998317360878,0.3999215066432953,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
69,0.5946649312973022,0.6003762483596802,0.3994019031524658,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
70,0.5946645766496659,0.6003692269325256,0.39946335554122925,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
32,0.5947394579648971,0.6002284288406372,0.39955124258995056,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
71,0.5946642458438873,0.6003690004348755,0.3994651734828949,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
33,0.5947129338979721,0.6002483248710633,0.3995070457458496,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
72,0.5946639150381088,0.6003724575042725,0.3994651734828949,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
34,0.5946967050433158,0.6000008881092072,0.3999408483505249,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
73,0.5946635574102401,0.6003723978996277,0.3994651734828949,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
35,0.5946742966771126,0.6001875221729278,0.3997165560722351,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
74,0.5946632444858551,0.6003698229789733,0.39947545528411865,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
36,0.5946560800075531,0.6002625226974487,0.39959561824798584,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
37,0.5946415409445762,0.6000184714794159,0.3999570310115814,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
75,0.5946629494428635,0.6003659248352051,0.39947548508644104,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
38,0.5946270778775216,0.6002191126346588,0.3997073769569397,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
76,0.5946626037359237,0.6003699541091919,0.39947548508644104,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,batch_norm
39,0.5946131780743599,0.6001747667789459,0.3997475504875183,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
77,0.5946623027324677,0.6003676176071167,0.39946502447128296,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,batch_norm
40,0.5946008995175361,0.5999710977077484,0.3999168276786804,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
78,0.5946619927883148,0.6003806352615356,0.3994559049606323,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
41,0.5945901528000832,0.6004357457160949,0.3994191884994507,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
79,0.5946616619825363,0.6003785610198975,0.39946502447128296,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
42,0.594580264389515,0.6000773012638092,0.399862676858902,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
80,0.594661357998848,0.6003787755966187,0.39946502447128296,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
43,0.5945692136883736,0.6001784384250641,0.3997546136379242,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
81,0.5946611642837525,0.6003791213035583,0.39946502447128296,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
44,0.5945607408881187,0.6002796590328217,0.3996403217315674,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
82,0.5946609735488891,0.6003761291503906,0.39946502447128296,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
45,0.5945533439517021,0.5999979972839355,0.3999226689338684,0.5,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
83,0.5946607857942581,0.6003775596618652,0.39946502447128296,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
46,0.5951852113008499,0.5982036828994751,0.402076780796051,0.35,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
84,0.5946606040000916,0.6003868699073791,0.39945605397224426,0.3,N/A,N/A,"[1.0, 1.0, 1.0]",0.6,True,instance_norm
